"","Rank","Device","MSRP Price","3DMark CPU","16 threads","8 threads","4 threads","2 threads","Single thread","Value for Money","Popularity"
"48",48,"Intel Core i5 processor 14600K",NA,10597,9770,7372,4457,2254,1128,NA,0.3
"49",49,"Intel Core i9-12900 Processor",499,10536,9126,6914,3964,2068,1050,21,0
"50",50,"Intel Core i9-12900F Processor",525,10516,9072,6977,3966,2025,1031,20,0
"51",51,"Intel Core i5-13600K Processor",319,10286,9477,7124,4298,2173,1087,32,1.1
"52",52,"Intel Core i5-13600KF Processor",299,10282,9458,7119,4298,2171,1086,34,2.3
"53",53,"AMD Ryzen 9 5900X",549,10123,9090,6608,3598,1858,944,18,3.5
"54",54,"Intel Core i7-12700KF Processor",389,10022,9309,7262,4027,2072,1045,25,0.7
"55",55,"Intel Core i7-12700K Processor",409,10013,9297,7201,4013,2066,1043,24,1.1
"56",56,"Intel Core i7 processor 14650HX",NA,9870,8672,6808,3914,2073,1073,NA,0.1
"57",57,"AMD Ryzen 7 9700X",NA,9645,9766,8045,4843,2513,1277,NA,0.1
"58",58,"Intel Core i7-12700 Processor",349,9487,8799,6780,3836,1987,1012,27,0.2
"59",59,"Intel Core i7-12700F Processor",319,9471,8781,6751,3849,1989,1012,29,0.3
"60",60,"Intel Core i9-12900HX Processor",NA,9417,8203,6597,3773,2015,1036,NA,0.1
"61",61,"Intel Core i5 processor 14500",NA,9333,8592,6373,3891,2044,1044,NA,0.1
"62",62,"Intel Core i7-12800HX Processor",NA,9175,7882,6323,3641,1943,995,NA,0.1
"63",63,"Intel Core i7-13700HX Processor",NA,9100,8101,6565,3767,1997,1025,NA,0.2
"64",64,"Intel Core i5-13500 Processor",NA,9062,8334,6249,3806,1993,1007,NA,0.2
"65",65,"Intel Core i9-10900K Processor",488,8947,8255,6236,3312,1688,853,18,0.4
"66",66,"Intel Core i9-10900KF Processor",463,8938,8222,6220,3309,1684,850,19,0.2
"67",67,"Intel Core i7-13650HX Processor",NA,8870,8142,5915,3709,1998,1021,NA,0.1
"68",68,"Intel Core i9-10850K Processor",453,8789,8100,6120,3252,1655,837,19,0.3
"69",69,"AMD Ryzen 9 3900XT",499,8546,7497,5192,2804,1454,736,17,0.1
"70",70,"AMD Ryzen 7 7700",NA,8542,8543,6846,3939,2042,1054,NA,0.3
"71",71,"Intel Core i9-11900KF Processor",513,8382,8389,6797,3845,2011,1028,16,0.3
"72",72,"Intel Core i9-11900K Processor",539,8376,8385,6637,3816,1990,1018,15,0.5
"73",73,"Intel Core i9-10900F Processor",422,8233,7581,5621,3123,1614,825,19,0
"74",74,"Intel Core i9-10900 Processor",440,8181,7569,5655,3099,1615,827,18,0
"75",75,"Intel Core i7-11700K Processor",399,8127,8136,6428,3675,1918,981,20,0.4
"76",76,"Intel Core i9-11900F Processor",NA,8104,8112,6229,3661,1916,1000,NA,0
"77",77,"Intel Core i7-11700KF Processor",374,8101,8113,6427,3663,1917,981,21,0.2
"78",78,"AMD Ryzen 9 5900",NA,8096,7440,5754,3434,1812,922,NA,0
"79",79,"AMD Ryzen 7 8700G",NA,8019,8017,6577,3827,1985,1012,NA,0
"80",80,"Intel Core i5-13500HX Processor",NA,8017,7488,5813,3649,1898,966,NA,0.1
"81",81,"AMD Ryzen 7 7745HX",NA,8014,8040,6663,3830,1993,1021,NA,0.1
"82",82,"Intel Core i5-12600K Processor",289,7999,8000,6168,3804,1996,1017,27,0.6
"83",83,"Intel Core i5-12600KF Processor",269,7968,7971,6147,3814,2001,1019,29,1.3
"84",84,"AMD Ryzen 9 3900",NA,7891,7104,5139,2783,1430,720,NA,0
"85",85,"Intel Core Ultra 9 processor 185H",NA,7861,7298,5589,3561,1927,999,NA,0.2
